id,class
0,real
1,ai
2,real
3,ai
4,ai
5,real
6,ai
7,real
8,real
9,ai
10,ai
11,real
12,real
13,ai
14,ai
15,real
16,real
17,real
18,real
19,ai
20,real
21,ai
22,real
23,real
24,real
25,real
26,ai
27,real
28,ai
29,real
30,ai
31,ai
32,ai
33,ai
34,ai
35,ai
36,real
37,real
38,ai
39,real
40,ai
41,ai
42,real
43,ai
44,real
45,real
46,real
47,real
48,real
49,real
50,ai
51,real
52,real
53,ai
54,real
55,real
56,ai
57,real
58,real
59,real
60,ai
61,real
62,ai
63,real
64,ai
65,ai
66,ai
67,ai
68,ai
69,ai
70,real
71,real
72,real
73,real
74,ai
75,ai
76,ai
77,ai
78,real
79,real
80,ai
81,real
82,ai
83,ai
84,ai
85,ai
86,real
87,ai
88,real
89,real
90,real
91,ai
92,real
93,real
94,real
95,real
96,ai
97,ai
98,ai
99,real
100,ai
101,real
102,real
103,real
104,real
105,ai
106,ai
107,real
108,ai
109,real
110,real
111,ai
112,real
113,ai
114,real
115,ai
116,real
117,real
118,ai
119,ai
120,ai
121,real
122,real
123,real
124,ai
125,ai
126,real
127,ai
128,real
129,ai
130,real
131,real
132,ai
133,real
134,ai
135,real
136,ai
137,real
138,real
139,ai
140,ai
141,ai
142,ai
143,real
144,ai
145,real
146,ai
147,real
148,real
149,ai
150,ai
151,real
152,ai
153,ai
154,real
155,real
156,ai
157,real
158,ai
159,real
160,real
161,real
162,ai
163,real
164,ai
165,ai
166,real
167,real
168,ai
169,real
170,ai
171,ai
172,real
173,ai
174,ai
175,ai
176,real
177,ai
178,ai
179,real
180,ai
181,ai
182,ai
183,ai
184,real
185,ai
186,ai
187,ai
188,real
189,ai
190,ai
191,ai
192,real
193,ai
194,real
195,real
196,real
197,ai
198,ai
199,real
200,ai
201,ai
202,real
203,real
204,real
205,real
206,real
207,real
208,real
209,ai
210,real
211,real
212,real
213,ai
214,ai
215,real
216,real
217,real
218,real
219,ai
220,ai
221,real
222,ai
223,ai
224,real
225,ai
226,real
227,ai
228,real
229,real
230,real
231,real
232,real
233,real
234,real
235,ai
236,real
237,real
238,real
239,ai
240,real
241,real
242,real
243,real
244,real
245,ai
246,real
247,ai
248,real
249,ai
250,ai
251,real
252,ai
253,real
254,ai
255,ai
256,real
257,ai
258,ai
259,ai
260,real
261,ai
262,real
263,real
264,ai
265,real
266,ai
267,real
268,real
269,ai
270,real
271,ai
272,real
273,ai
274,real
275,real
276,real
277,ai
278,real
279,real
280,ai
281,ai
282,ai
283,real
284,ai
285,real
286,ai
287,ai
288,real
289,real
290,ai
291,ai
292,real
293,ai
294,real
295,real
296,ai
297,ai
298,real
299,ai
300,real
301,real
302,ai
303,real
304,real
305,ai
306,real
307,real
308,ai
309,ai
310,real
311,real
312,ai
313,ai
314,ai
315,real
316,ai
317,ai
318,real
319,real
320,ai
321,ai
322,ai
323,ai
324,ai
325,real
326,real
327,ai
328,ai
329,ai
330,real
331,real
332,ai
333,ai
334,real
335,ai
336,ai
337,real
338,ai
339,ai
340,real
341,real
342,ai
343,ai
344,real
345,ai
346,real
347,ai
348,real
349,ai
350,real
351,ai
352,ai
353,real
354,real
355,ai
356,real
357,real
358,ai
359,real
360,ai
361,real
362,real
363,ai
364,ai
365,ai
366,ai
367,ai
368,ai
369,ai
370,ai
371,ai
372,ai
373,real
374,ai
375,ai
376,real
377,real
378,ai
379,ai
380,real
381,real
382,real
383,ai
384,ai
385,ai
386,real
387,real
388,real
389,real
390,real
391,real
392,real
393,real
394,ai
395,ai
396,real
397,real
398,ai
399,ai
400,ai
401,ai
402,ai
403,real
404,real
405,real
406,real
407,ai
408,ai
409,real
410,real
411,ai
412,ai
413,real
414,ai
415,real
416,ai
417,ai
418,ai
419,real
420,real
421,ai
422,real
423,ai
424,ai
425,ai
426,real
427,ai
428,real
429,ai
430,ai
431,real
432,ai
433,real
434,real
435,ai
436,ai
437,ai
438,ai
439,ai
440,ai
441,ai
442,real
443,real
444,real
445,real
446,real
447,ai
448,real
449,ai
450,ai
451,ai
452,ai
453,ai
454,real
455,real
456,ai
457,ai
458,ai
459,real
460,ai
461,ai
462,real
463,real
464,ai
465,real
466,real
467,ai
468,ai
469,real
470,real
471,real
472,ai
473,ai
474,real
475,ai
476,real
477,real
478,ai
479,ai
480,ai
481,ai
482,ai
483,real
484,ai
485,ai
486,real
487,real
488,ai
489,real
490,real
491,ai
492,ai
493,ai
494,real
495,real
496,ai
497,ai
498,real
499,ai
500,ai
501,ai
502,ai
503,real
504,ai
505,ai
506,ai
507,ai
508,real
509,real
510,real
511,real
512,ai
513,real
514,ai
515,real
516,real
517,real
518,real
519,ai
520,ai
521,real
522,ai
523,ai
524,real
525,ai
526,real
527,real
528,real
529,ai
530,ai
531,ai
532,ai
533,real
534,real
535,ai
536,real
537,ai
538,ai
539,ai
540,ai
541,real
542,ai
543,ai
544,real
545,real
546,ai
547,ai
548,ai
549,ai
550,real
551,ai
552,ai
553,real
554,ai
555,ai
556,ai
557,real
558,real
559,ai
560,real
561,ai
562,real
563,ai
564,real
565,real
566,real
567,real
568,ai
569,real
570,ai
571,ai
572,ai
573,real
574,ai
575,ai
576,ai
577,ai
578,ai
579,real
580,ai
581,ai
582,ai
583,real
584,real
585,real
586,ai
587,real
588,real
589,ai
590,real
591,ai
592,ai
593,ai
594,ai
595,ai
596,real
597,real
598,ai
599,real
600,real
601,real
602,ai
603,real
604,real
605,real
606,real
607,ai
608,real
609,ai
610,real
611,ai
612,real
613,real
614,ai
615,ai
616,real
617,ai
618,real
619,ai
620,real
621,ai
622,ai
623,ai
624,ai
625,real
626,ai
627,ai
628,real
629,ai
630,ai
631,real
632,real
633,real
634,real
635,ai
636,ai
637,ai
638,ai
639,real
640,real
641,ai
642,real
643,ai
644,ai
645,real
646,real
647,ai
648,real
649,real
650,ai
651,real
652,ai
653,ai
654,real
655,ai
656,real
657,real
658,real
659,real
660,real
661,real
662,ai
663,real
664,ai
665,ai
666,ai
667,ai
668,real
669,ai
670,ai
671,ai
672,real
673,real
674,real
675,ai
676,ai
677,ai
678,real
679,ai
680,ai
681,ai
682,real
683,ai
684,ai
685,real
686,ai
687,ai
688,real
689,real
690,real
691,ai
692,real
693,real
694,ai
695,real
696,ai
697,ai
698,ai
699,ai
700,real
701,real
702,real
703,ai
704,ai
705,real
706,real
707,ai
708,ai
709,real
710,real
711,real
712,ai
713,ai
714,real
715,ai
716,ai
717,ai
718,ai
719,ai
720,ai
721,ai
722,ai
723,real
724,ai
725,ai
726,ai
727,real
728,real
729,real
730,ai
731,real
732,ai
733,ai
734,ai
735,ai
736,real
737,real
738,ai
739,ai
740,ai
741,ai
742,real
743,real
744,ai
745,real
746,real
747,ai
748,ai
749,real
750,real
751,ai
752,real
753,real
754,real
755,real
756,ai
757,ai
758,real
759,ai
760,real
761,real
762,real
763,ai
764,ai
765,real
766,ai
767,real
768,real
769,real
770,ai
771,ai
772,ai
773,ai
774,ai
775,ai
776,ai
777,ai
778,ai
779,real
780,ai
781,real
782,ai
783,real
784,ai
785,real
786,ai
787,real
788,ai
789,ai
790,real
791,ai
792,real
793,ai
794,ai
795,ai
796,real
797,ai
798,real
799,ai
800,real
801,ai
802,ai
803,real
804,ai
805,ai
